iso_639_3,language_code,script,language_name,total_characters,total_frequency,data_source,years_count,min_year,max_year,relative_path
scn,scn_Latn,Latn,Sicilian,1767,29450671,"FineWeb2, v2.1.0",12,2013,2024,DATA/scn_Latn
nso,nso_Latn,Latn,Pedi,1018,29304464,"FineWeb2, v2.1.0",12,2013,2024,DATA/nso_Latn
lez,lez_Cyrl,Cyrl,Lezghian,464,28961924,"FineWeb2, v2.1.0",12,2013,2024,DATA/lez_Cyrl
tsn,tsn_Latn,Latn,Tswana,387,28404477,"FineWeb2, v2.1.0",12,2013,2024,DATA/tsn_Latn
sco,sco_Latn,Latn,Scots,3357,28356337,"FineWeb2, v2.1.0",12,2013,2024,DATA/sco_Latn
kbd,kbd_Cyrl,Cyrl,Kabardian,596,28169936,"FineWeb2, v2.1.0",12,2013,2024,DATA/kbd_Cyrl
ctd,ctd_Latn,Latn,Tedim Chin,355,28110284,"FineWeb2, v2.1.0",12,2013,2024,DATA/ctd_Latn
mfe,mfe_Latn,Latn,Morisyen,760,27973028,"FineWeb2, v2.1.0",12,2013,2024,DATA/mfe_Latn
und,und_Beng,Beng,Undetermined,959,27243022,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Beng
glk,glk_Arab,Arab,Gilaki,1298,27095548,"FineWeb2, v2.1.0",12,2013,2024,DATA/glk_Arab
twi,twi_Latn,Latn,Twi,4134,27048277,"FineWeb2, v2.1.0",12,2013,2024,DATA/twi_Latn
kab,kab_Latn,Latn,Kabyle,1272,26900737,"FineWeb2, v2.1.0",12,2013,2024,DATA/kab_Latn
ndo,ndo_Latn,Latn,Ndonga,252,26452448,"FineWeb2, v2.1.0",12,2013,2024,DATA/ndo_Latn
swc,swc_Latn,Latn,Congo Swahili,326,26177362,"FineWeb2, v2.1.0",12,2013,2024,DATA/swc_Latn
myv,myv_Cyrl,Cyrl,Erzya,880,26125396,"FineWeb2, v2.1.0",12,2013,2024,DATA/myv_Cyrl
kac,kac_Latn,Latn,Kachin,2275,26115867,"FineWeb2, v2.1.0",12,2013,2024,DATA/kac_Latn
vro,vro_Latn,Latn,Võro,949,25791014,"FineWeb2, v2.1.0",12,2013,2024,DATA/vro_Latn
pan,pan_Latn,Latn,Panjabi,1770,25015644,"FineWeb2, v2.1.0",12,2013,2024,DATA/pan_Latn
cfm,cfm_Latn,Latn,Falam Chin,668,24699170,"FineWeb2, v2.1.0",12,2013,2024,DATA/cfm_Latn
ton,ton_Latn,Latn,Tonga (Tonga Islands),1870,24514315,"FineWeb2, v2.1.0",12,2013,2024,DATA/ton_Latn
tah,tah_Latn,Latn,Tahitian,1040,24166560,"FineWeb2, v2.1.0",12,2013,2024,DATA/tah_Latn
inh,inh_Cyrl,Cyrl,Ingush,1233,23839419,"FineWeb2, v2.1.0",12,2013,2024,DATA/inh_Cyrl
bcl,bcl_Latn,Latn,Central Bikol,1147,23576720,"FineWeb2, v2.1.0",12,2013,2024,DATA/bcl_Latn
und,und_Hebr,Hebr,Undetermined,1773,23233113,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Hebr
ady,ady_Cyrl,Cyrl,Adyghe,342,22969681,"FineWeb2, v2.1.0",11,2013,2024,DATA/ady_Cyrl
gag,gag_Latn,Latn,Gagauz,1263,22935478,"FineWeb2, v2.1.0",12,2013,2024,DATA/gag_Latn
und,und_Syrc,Syrc,Undetermined,1243,22595164,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Syrc
ido,ido_Latn,Latn,Ido,2106,22240768,"FineWeb2, v2.1.0",12,2013,2024,DATA/ido_Latn
azj,azj_Cyrl,Cyrl,North Azerbaijani,317,22154780,"FineWeb2, v2.1.0",10,2013,2024,DATA/azj_Cyrl
uzs,uzs_Arab,Arab,Southern Uzbek,609,22046694,"FineWeb2, v2.1.0",12,2013,2024,DATA/uzs_Arab
kum,kum_Cyrl,Cyrl,Kumyk,259,20262335,"FineWeb2, v2.1.0",11,2013,2024,DATA/kum_Cyrl
tcz,tcz_Latn,Latn,Thado Chin,669,19703255,"FineWeb2, v2.1.0",12,2013,2024,DATA/tcz_Latn
szl,szl_Latn,Latn,Silesian,763,19509461,"FineWeb2, v2.1.0",12,2013,2024,DATA/szl_Latn
csb,csb_Latn,Latn,Kashubian,1220,19259986,"FineWeb2, v2.1.0",12,2013,2024,DATA/csb_Latn
sag,sag_Latn,Latn,Sango,1854,19183753,"FineWeb2, v2.1.0",12,2013,2024,DATA/sag_Latn
pfl,pfl_Latn,Latn,Pfaelzisch,467,19032573,"FineWeb2, v2.1.0",12,2013,2024,DATA/pfl_Latn
krc,krc_Cyrl,Cyrl,Karachay-Balkar,1007,18506597,"FineWeb2, v2.1.0",12,2013,2024,DATA/krc_Cyrl
mrj,mrj_Cyrl,Cyrl,Western Mari,590,18455480,"FineWeb2, v2.1.0",12,2013,2024,DATA/mrj_Cyrl
wol,wol_Latn,Latn,Wolof,2302,18118158,"FineWeb2, v2.1.0",12,2013,2024,DATA/wol_Latn
syc,syc_Syrc,Syrc,Classical Syriac,458,17821635,"FineWeb2, v2.1.0",12,2013,2024,DATA/syc_Syrc
yua,yua_Latn,Latn,Yucateco,695,17630172,"FineWeb2, v2.1.0",12,2013,2024,DATA/yua_Latn
diq,diq_Latn,Latn,Dimli (individual language),1054,17624481,"FineWeb2, v2.1.0",12,2013,2024,DATA/diq_Latn
srn,srn_Latn,Latn,Sranan Tongo,321,17618714,"FineWeb2, v2.1.0",12,2013,2024,DATA/srn_Latn
gos,gos_Latn,Latn,Gronings,294,17546433,"FineWeb2, v2.1.0",12,2013,2024,DATA/gos_Latn
tuk,tuk_Cyrl,Cyrl,Turkmen,374,17466143,"FineWeb2, v2.1.0",11,2013,2024,DATA/tuk_Cyrl
crh,crh_Cyrl,Cyrl,Crimean Tatar,410,17371030,"FineWeb2, v2.1.0",9,2016,2024,DATA/crh_Cyrl
efi,efi_Latn,Latn,Efik,230,17354748,"FineWeb2, v2.1.0",10,2014,2024,DATA/efi_Latn
mal,mal_Latn,Latn,Malayalam,1669,17241189,"FineWeb2, v2.1.0",12,2013,2024,DATA/mal_Latn
eml,eml_Latn,Latn,UNKNOWN,1455,17232654,"FineWeb2, v2.1.0",12,2013,2024,DATA/eml_Latn
lad,lad_Latn,Latn,Ladino,714,17032496,"FineWeb2, v2.1.0",12,2013,2024,DATA/lad_Latn
vls,vls_Latn,Latn,Vlaams,665,16814860,"FineWeb2, v2.1.0",12,2013,2024,DATA/vls_Latn
alt,alt_Cyrl,Cyrl,Southern Altai,356,16766543,"FineWeb2, v2.1.0",10,2013,2024,DATA/alt_Cyrl
und,und_Newa,Newa,Undetermined,317,16557349,"FineWeb2, v2.1.0",7,2018,2024,DATA/und_Newa
mni,mni_Beng,Beng,Manipuri,770,16455766,"FineWeb2, v2.1.0",11,2013,2024,DATA/mni_Beng
gom,gom_Deva,Deva,Goan Konkani,381,16269470,"FineWeb2, v2.1.0",12,2013,2024,DATA/gom_Deva
gaa,gaa_Latn,Latn,Ga,225,16245580,"FineWeb2, v2.1.0",11,2013,2024,DATA/gaa_Latn
acm,acm_Arab,Arab,Mesopotamian Arabic,1617,16156757,"FineWeb2, v2.1.0",12,2013,2024,DATA/acm_Arab
loz,loz_Latn,Latn,Lozi,262,16047696,"FineWeb2, v2.1.0",11,2013,2024,DATA/loz_Latn
ven,ven_Latn,Latn,Venda,387,15987941,"FineWeb2, v2.1.0",12,2013,2024,DATA/ven_Latn
ike,ike_Cans,Cans,Eastern Canadian Inuktitut,417,15986748,"FineWeb2, v2.1.0",12,2013,2024,DATA/ike_Cans
bis,bis_Latn,Latn,Bislama,712,15945667,"FineWeb2, v2.1.0",12,2013,2024,DATA/bis_Latn
qug,qug_Latn,Latn,Chimborazo Highland Quichua,3564,15812904,"FineWeb2, v2.1.0",12,2013,2024,DATA/qug_Latn
tpi,tpi_Latn,Latn,Tok Pisin,871,15543229,"FineWeb2, v2.1.0",12,2013,2024,DATA/tpi_Latn
brh,brh_Arab,Arab,Brahui,732,15224235,"FineWeb2, v2.1.0",12,2013,2024,DATA/brh_Arab
fit,fit_Latn,Latn,Tornedalen Finnish,504,15210564,"FineWeb2, v2.1.0",12,2013,2024,DATA/fit_Latn
lbe,lbe_Cyrl,Cyrl,Lak,245,15042002,"FineWeb2, v2.1.0",10,2013,2024,DATA/lbe_Cyrl
kua,kua_Latn,Latn,Kuanyama,179,14774474,"FineWeb2, v2.1.0",11,2013,2024,DATA/kua_Latn
tzo,tzo_Latn,Latn,Tzotzil,350,14751845,"FineWeb2, v2.1.0",12,2013,2024,DATA/tzo_Latn
cak,cak_Latn,Latn,Kaqchikel,172,14723010,"FineWeb2, v2.1.0",12,2013,2024,DATA/cak_Latn
lua,lua_Latn,Latn,Luba-Lulua,229,14700324,"FineWeb2, v2.1.0",10,2013,2024,DATA/lua_Latn
pck,pck_Latn,Latn,Paite Chin,176,14619302,"FineWeb2, v2.1.0",12,2013,2024,DATA/pck_Latn
frp,frp_Latn,Latn,Arpitan,2325,14299106,"FineWeb2, v2.1.0",12,2013,2024,DATA/frp_Latn
krl,krl_Latn,Latn,Karelian,379,13833637,"FineWeb2, v2.1.0",12,2013,2024,DATA/krl_Latn
ina,ina_Latn,Latn,Interlingua (International Auxiliary Language Association),721,13813974,"FineWeb2, v2.1.0",12,2013,2024,DATA/ina_Latn
und,und_Mymr,Mymr,Undetermined,5033,13700951,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Mymr
ksh,ksh_Latn,Latn,Kölsch,699,13450021,"FineWeb2, v2.1.0",12,2013,2024,DATA/ksh_Latn
ace,ace_Latn,Latn,Achinese,589,13429581,"FineWeb2, v2.1.0",12,2013,2024,DATA/ace_Latn
olo,olo_Latn,Latn,Livvi,511,13406857,"FineWeb2, v2.1.0",12,2013,2024,DATA/olo_Latn
tog,tog_Latn,Latn,Tonga (Nyasa),176,13135290,"FineWeb2, v2.1.0",8,2017,2024,DATA/tog_Latn
pcd,pcd_Latn,Latn,Picard,288,12949400,"FineWeb2, v2.1.0",12,2013,2024,DATA/pcd_Latn
pon,pon_Latn,Latn,Pohnpeian,868,12841262,"FineWeb2, v2.1.0",12,2013,2024,DATA/pon_Latn
dsb,dsb_Latn,Latn,Lower Sorbian,1020,12635437,"FineWeb2, v2.1.0",12,2013,2024,DATA/dsb_Latn
lub,lub_Latn,Latn,Luba-Katanga,226,12633001,"FineWeb2, v2.1.0",9,2013,2024,DATA/lub_Latn
abk,abk_Cyrl,Cyrl,Abkhazian,336,12526815,"FineWeb2, v2.1.0",8,2017,2024,DATA/abk_Cyrl
gom,gom_Latn,Latn,Goan Konkani,1053,12397428,"FineWeb2, v2.1.0",12,2013,2024,DATA/gom_Latn
lij,lij_Latn,Latn,Ligurian,1122,12272644,"FineWeb2, v2.1.0",12,2013,2024,DATA/lij_Latn
kng,kng_Latn,Latn,Koongo,204,12206284,"FineWeb2, v2.1.0",11,2013,2024,DATA/kng_Latn
quc,quc_Latn,Latn,K'iche',254,12121868,"FineWeb2, v2.1.0",12,2013,2024,DATA/quc_Latn
nbl,nbl_Latn,Latn,South Ndebele,174,11913286,"FineWeb2, v2.1.0",11,2013,2024,DATA/nbl_Latn
vec,vec_Latn,Latn,Venetian,1002,11728637,"FineWeb2, v2.1.0",12,2013,2024,DATA/vec_Latn
mam,mam_Latn,Latn,Mam,156,11687398,"FineWeb2, v2.1.0",12,2013,2024,DATA/mam_Latn
wal,wal_Latn,Latn,Wolaytta,166,11185971,"FineWeb2, v2.1.0",12,2013,2024,DATA/wal_Latn
vep,vep_Latn,Latn,Veps,1345,11143425,"FineWeb2, v2.1.0",12,2013,2024,DATA/vep_Latn
ayr,ayr_Latn,Latn,Central Aymara,1548,10985164,"FineWeb2, v2.1.0",12,2013,2024,DATA/ayr_Latn
ron,ron_Cyrl,Cyrl,Romanian,368,10862179,"FineWeb2, v2.1.0",11,2013,2024,DATA/ron_Cyrl
gil,gil_Latn,Latn,Gilbertese,347,10857214,"FineWeb2, v2.1.0",12,2013,2024,DATA/gil_Latn
kaa,kaa_Latn,Latn,Kara-Kalpak,641,10732468,"FineWeb2, v2.1.0",12,2013,2024,DATA/kaa_Latn
kea,kea_Latn,Latn,Kabuverdianu,789,10618122,"FineWeb2, v2.1.0",12,2013,2024,DATA/kea_Latn
ssw,ssw_Latn,Latn,Swati,426,10402420,"FineWeb2, v2.1.0",12,2013,2024,DATA/ssw_Latn
smn,smn_Latn,Latn,Inari Sami,515,10359944,"FineWeb2, v2.1.0",12,2013,2024,DATA/smn_Latn
mni,mni_Latn,Latn,Manipuri,1065,10191404,"FineWeb2, v2.1.0",11,2014,2024,DATA/mni_Latn
mnw,mnw_Mymr,Mymr,Mon,1107,10175973,"FineWeb2, v2.1.0",11,2013,2024,DATA/mnw_Mymr
mos,mos_Latn,Latn,Mossi,516,10138834,"FineWeb2, v2.1.0",11,2013,2024,DATA/mos_Latn
arb,arb_Latn,Latn,Standard Arabic,434,10135218,"FineWeb2, v2.1.0",12,2013,2024,DATA/arb_Latn
npi,npi_Latn,Latn,Nepali (individual language),1667,10071512,"FineWeb2, v2.1.0",12,2013,2024,DATA/npi_Latn
cor,cor_Latn,Latn,Cornish,679,9879929,"FineWeb2, v2.1.0",12,2013,2024,DATA/cor_Latn
lfn,lfn_Latn,Latn,Lingua Franca Nova,938,9731599,"FineWeb2, v2.1.0",11,2013,2024,DATA/lfn_Latn
tzh,tzh_Latn,Latn,Tzeltal,182,9682943,"FineWeb2, v2.1.0",12,2013,2024,DATA/tzh_Latn
tiv,tiv_Latn,Latn,Tiv,438,9676226,"FineWeb2, v2.1.0",12,2013,2024,DATA/tiv_Latn
nzi,nzi_Latn,Latn,Nzima,176,9598864,"FineWeb2, v2.1.0",9,2013,2024,DATA/nzi_Latn
tvl,tvl_Latn,Latn,Tuvalu,205,9532662,"FineWeb2, v2.1.0",11,2013,2024,DATA/tvl_Latn
luo,luo_Latn,Latn,Luo (Kenya and Tanzania),461,9468315,"FineWeb2, v2.1.0",12,2013,2024,DATA/luo_Latn
tet,tet_Latn,Latn,Tetum,236,9343477,"FineWeb2, v2.1.0",12,2013,2024,DATA/tet_Latn
und,und_Bopo,Bopo,Undetermined,11518,9325105,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Bopo
nhe,nhe_Latn,Latn,Eastern Huasteca Nahuatl,103,9324038,"FineWeb2, v2.1.0",12,2013,2024,DATA/nhe_Latn
orv,orv_Cyrl,Cyrl,Old Russian,570,9186495,"FineWeb2, v2.1.0",12,2013,2024,DATA/orv_Cyrl
ory,ory_Latn,Latn,Odia,543,9178757,"FineWeb2, v2.1.0",12,2013,2024,DATA/ory_Latn
und,und_Thaa,Thaa,Undetermined,358,8963798,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Thaa
rcf,rcf_Latn,Latn,Réunion Creole French,172,8935136,"FineWeb2, v2.1.0",11,2013,2024,DATA/rcf_Latn
btx,btx_Latn,Latn,Batak Karo,188,8744387,"FineWeb2, v2.1.0",12,2013,2024,DATA/btx_Latn
sma,sma_Latn,Latn,Southern Sami,397,8702318,"FineWeb2, v2.1.0",12,2013,2024,DATA/sma_Latn
bts,bts_Latn,Latn,Batak Simalungun,172,8685356,"FineWeb2, v2.1.0",12,2013,2024,DATA/bts_Latn
pag,pag_Latn,Latn,Pangasinan,469,8665573,"FineWeb2, v2.1.0",12,2013,2024,DATA/pag_Latn
bem,bem_Latn,Latn,Bemba (Zambia),1089,8463498,"FineWeb2, v2.1.0",12,2013,2024,DATA/bem_Latn
quy,quy_Latn,Latn,Ayacucho Quechua,1236,8441952,"FineWeb2, v2.1.0",12,2013,2024,DATA/quy_Latn
iso,iso_Latn,Latn,Isoko,263,8270629,"FineWeb2, v2.1.0",9,2014,2024,DATA/iso_Latn
xmf,xmf_Geor,Geor,Mingrelian,1539,8072075,"FineWeb2, v2.1.0",12,2013,2024,DATA/xmf_Geor
mdf,mdf_Cyrl,Cyrl,Moksha,415,7950719,"FineWeb2, v2.1.0",12,2013,2024,DATA/mdf_Cyrl
ksw,ksw_Mymr,Mymr,S'gaw Karen,295,7948359,"FineWeb2, v2.1.0",9,2014,2024,DATA/ksw_Mymr
ext,ext_Latn,Latn,Extremaduran,747,7923523,"FineWeb2, v2.1.0",12,2013,2024,DATA/ext_Latn
ubu,ubu_Latn,Latn,Umbu-Ungu,104,7913371,"FineWeb2, v2.1.0",11,2013,2024,DATA/ubu_Latn
dak,dak_Latn,Latn,Dakota,125,7862100,"FineWeb2, v2.1.0",12,2013,2024,DATA/dak_Latn
frr,frr_Latn,Latn,Northern Frisian,1547,7826876,"FineWeb2, v2.1.0",12,2013,2024,DATA/frr_Latn
rar,rar_Latn,Latn,Rarotongan,194,7686305,"FineWeb2, v2.1.0",11,2013,2024,DATA/rar_Latn
chk,chk_Latn,Latn,Chuukese,632,7684185,"FineWeb2, v2.1.0",12,2013,2024,DATA/chk_Latn
hmo,hmo_Latn,Latn,Hiri Motu,104,7431815,"FineWeb2, v2.1.0",11,2013,2024,DATA/hmo_Latn
toi,toi_Latn,Latn,Tonga (Zambia),634,7284148,"FineWeb2, v2.1.0",10,2013,2024,DATA/toi_Latn
hmr,hmr_Latn,Latn,Hmar,284,7282482,"FineWeb2, v2.1.0",12,2013,2024,DATA/hmr_Latn
mui,mui_Latn,Latn,Musi,348,7217875,"FineWeb2, v2.1.0",12,2013,2024,DATA/mui_Latn
szy,szy_Latn,Latn,Sakizaya,5417,7168949,"FineWeb2, v2.1.0",11,2013,2024,DATA/szy_Latn
glv,glv_Latn,Latn,Manx,935,7109843,"FineWeb2, v2.1.0",12,2013,2024,DATA/glv_Latn
arn,arn_Latn,Latn,Mapudungun,278,7073233,"FineWeb2, v2.1.0",12,2013,2024,DATA/arn_Latn
mar,mar_Latn,Latn,Marathi,625,7027537,"FineWeb2, v2.1.0",12,2013,2024,DATA/mar_Latn
cop,cop_Copt,Copt,Coptic,547,6961556,"FineWeb2, v2.1.0",10,2013,2024,DATA/cop_Copt
poh,poh_Latn,Latn,Poqomchi',98,6890653,"FineWeb2, v2.1.0",7,2013,2022,DATA/poh_Latn
pam,pam_Latn,Latn,Pampanga,582,6848830,"FineWeb2, v2.1.0",12,2013,2024,DATA/pam_Latn
mps,mps_Latn,Latn,Dadibi,94,6830515,"FineWeb2, v2.1.0",8,2013,2024,DATA/mps_Latn
abt,abt_Latn,Latn,Ambulas,83,6587962,"FineWeb2, v2.1.0",5,2016,2020,DATA/abt_Latn
bru,bru_Latn,Latn,Eastern Bru,297,6547928,"FineWeb2, v2.1.0",12,2013,2024,DATA/bru_Latn
bjn,bjn_Arab,Arab,Banjar,586,6457769,"FineWeb2, v2.1.0",12,2013,2024,DATA/bjn_Arab
sms,sms_Latn,Latn,Skolt Sami,286,6433019,"FineWeb2, v2.1.0",11,2013,2024,DATA/sms_Latn
wuu,wuu_Hani,Hani,Wu Chinese,11540,6377637,"FineWeb2, v2.1.0",12,2013,2024,DATA/wuu_Hani
rop,rop_Latn,Latn,Kriol,94,6341984,"FineWeb2, v2.1.0",11,2013,2024,DATA/rop_Latn
avk,avk_Latn,Latn,Kotava,846,6327329,"FineWeb2, v2.1.0",10,2013,2024,DATA/avk_Latn
quz,quz_Latn,Latn,Cusco Quechua,427,6283852,"FineWeb2, v2.1.0",12,2013,2024,DATA/quz_Latn
bci,bci_Latn,Latn,Baoulé,470,6268669,"FineWeb2, v2.1.0",10,2013,2024,DATA/bci_Latn
bba,bba_Latn,Latn,Baatonum,125,6262888,"FineWeb2, v2.1.0",11,2013,2024,DATA/bba_Latn
acn,acn_Latn,Latn,Achang,154,6261019,"FineWeb2, v2.1.0",11,2013,2024,DATA/acn_Latn
tlh,tlh_Latn,Latn,Klingon,471,6246217,"FineWeb2, v2.1.0",12,2013,2024,DATA/tlh_Latn
gym,gym_Latn,Latn,Ngäbere,134,6230315,"FineWeb2, v2.1.0",10,2013,2024,DATA/gym_Latn
zai,zai_Latn,Latn,Isthmus Zapotec,273,6124886,"FineWeb2, v2.1.0",12,2013,2024,DATA/zai_Latn
meu,meu_Latn,Latn,Motu,100,6102807,"FineWeb2, v2.1.0",7,2017,2024,DATA/meu_Latn
ach,ach_Latn,Latn,Acoli,143,6083562,"FineWeb2, v2.1.0",12,2013,2024,DATA/ach_Latn
bjn,bjn_Latn,Latn,Banjar,648,5952208,"FineWeb2, v2.1.0",12,2013,2024,DATA/bjn_Latn
crn,crn_Latn,Latn,El Nayar Cora,104,5903048,"FineWeb2, v2.1.0",9,2013,2024,DATA/crn_Latn
und,und_Tibt,Tibt,Undetermined,3939,5790134,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Tibt
cac,cac_Latn,Latn,Chuj,99,5759619,"FineWeb2, v2.1.0",8,2013,2023,DATA/cac_Latn
srm,srm_Latn,Latn,Saramaccan,125,5649002,"FineWeb2, v2.1.0",9,2013,2022,DATA/srm_Latn
fon,fon_Latn,Latn,Fon,521,5625907,"FineWeb2, v2.1.0",10,2013,2024,DATA/fon_Latn
cab,cab_Latn,Latn,Garifuna,159,5621211,"FineWeb2, v2.1.0",11,2013,2024,DATA/cab_Latn
kos,kos_Latn,Latn,Kosraean,183,5613001,"FineWeb2, v2.1.0",12,2013,2024,DATA/kos_Latn
vol,vol_Latn,Latn,Volapük,952,5546345,"FineWeb2, v2.1.0",12,2013,2024,DATA/vol_Latn
ify,ify_Latn,Latn,Keley-I Kallahan,102,5541786,"FineWeb2, v2.1.0",10,2013,2024,DATA/ify_Latn
gcf,gcf_Latn,Latn,Guadeloupean Creole French,203,5537989,"FineWeb2, v2.1.0",12,2013,2024,DATA/gcf_Latn
ium,ium_Latn,Latn,Iu Mien,915,5534195,"FineWeb2, v2.1.0",12,2013,2024,DATA/ium_Latn
kmb,kmb_Latn,Latn,Kimbundu,156,5521466,"FineWeb2, v2.1.0",10,2013,2023,DATA/kmb_Latn
dyu,dyu_Latn,Latn,Dyula,126,5520070,"FineWeb2, v2.1.0",11,2013,2024,DATA/dyu_Latn
nch,nch_Latn,Latn,Central Huasteca Nahuatl,173,5507471,"FineWeb2, v2.1.0",12,2013,2024,DATA/nch_Latn
aak,aak_Latn,Latn,Ankave,97,5492177,"FineWeb2, v2.1.0",8,2013,2023,DATA/aak_Latn
tly,tly_Latn,Latn,Talysh,749,5479555,"FineWeb2, v2.1.0",11,2013,2024,DATA/tly_Latn
umb,umb_Latn,Latn,Umbundu,224,5479227,"FineWeb2, v2.1.0",10,2013,2022,DATA/umb_Latn
kek,kek_Latn,Latn,Kekchí,234,5434039,"FineWeb2, v2.1.0",12,2013,2024,DATA/kek_Latn
kan,kan_Latn,Latn,Kannada,958,5403106,"FineWeb2, v2.1.0",12,2013,2024,DATA/kan_Latn
krj,krj_Latn,Latn,Kinaray-A,143,5362117,"FineWeb2, v2.1.0",11,2013,2023,DATA/krj_Latn
nyu,nyu_Latn,Latn,Nyungwe,134,5284938,"FineWeb2, v2.1.0",8,2016,2024,DATA/nyu_Latn
ang,ang_Latn,Latn,Old English (ca. 450-1100),895,5277899,"FineWeb2, v2.1.0",12,2013,2024,DATA/ang_Latn
jac,jac_Latn,Latn,Popti',148,5234177,"FineWeb2, v2.1.0",12,2013,2024,DATA/jac_Latn
rmc,rmc_Latn,Latn,Carpathian Romani,307,5228393,"FineWeb2, v2.1.0",10,2013,2024,DATA/rmc_Latn
sgs,sgs_Latn,Latn,Samogitian,625,5187137,"FineWeb2, v2.1.0",12,2013,2024,DATA/sgs_Latn
nah,nah_Latn,Latn,UNKNOWN,927,5133129,"FineWeb2, v2.1.0",12,2013,2024,DATA/nah_Latn
brx,brx_Deva,Deva,Bodo (India),249,5113949,"FineWeb2, v2.1.0",11,2013,2024,DATA/brx_Deva
mah,mah_Latn,Latn,Marshallese,823,5099180,"FineWeb2, v2.1.0",12,2013,2024,DATA/mah_Latn
aoj,aoj_Latn,Latn,Mufian,88,5017993,"FineWeb2, v2.1.0",6,2014,2024,DATA/aoj_Latn
fuf,fuf_Latn,Latn,Pular,214,5010779,"FineWeb2, v2.1.0",12,2013,2024,DATA/fuf_Latn
hui,hui_Latn,Latn,Huli,93,4997589,"FineWeb2, v2.1.0",6,2013,2023,DATA/hui_Latn
und,und_Sylo,Sylo,Undetermined,911,4994162,"FineWeb2, v2.1.0",10,2014,2024,DATA/und_Sylo
ape,ape_Latn,Latn,Bukiyip,91,4965294,"FineWeb2, v2.1.0",6,2017,2023,DATA/ape_Latn
top,top_Latn,Latn,Papantla Totonac,223,4954613,"FineWeb2, v2.1.0",11,2013,2024,DATA/top_Latn
und,und_Shaw,Shaw,Undetermined,207,4941537,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Shaw
nhw,nhw_Latn,Latn,Western Huasteca Nahuatl,99,4932403,"FineWeb2, v2.1.0",10,2013,2024,DATA/nhw_Latn
zom,zom_Latn,Latn,Zou,217,4928052,"FineWeb2, v2.1.0",12,2013,2024,DATA/zom_Latn
tzm,tzm_Tfng,Tfng,Central Atlas Tamazight,609,4881572,"FineWeb2, v2.1.0",12,2013,2024,DATA/tzm_Tfng
pdt,pdt_Latn,Latn,Plautdietsch,157,4855707,"FineWeb2, v2.1.0",10,2014,2024,DATA/pdt_Latn
cbk,cbk_Latn,Latn,Chavacano,455,4836556,"FineWeb2, v2.1.0",12,2013,2024,DATA/cbk_Latn
tuc,tuc_Latn,Latn,Mutu,92,4834023,"FineWeb2, v2.1.0",6,2017,2023,DATA/tuc_Latn
guw,guw_Latn,Latn,Gun,259,4792532,"FineWeb2, v2.1.0",9,2016,2024,DATA/guw_Latn
swg,swg_Latn,Latn,Swabian,104,4789092,"FineWeb2, v2.1.0",9,2013,2024,DATA/swg_Latn
byr,byr_Latn,Latn,Baruya,91,4737465,"FineWeb2, v2.1.0",8,2013,2023,DATA/byr_Latn
knv,knv_Latn,Latn,Tabo,86,4730427,"FineWeb2, v2.1.0",5,2018,2023,DATA/knv_Latn
nog,nog_Cyrl,Cyrl,Nogai,257,4702653,"FineWeb2, v2.1.0",11,2013,2024,DATA/nog_Cyrl
rmn,rmn_Grek,Grek,Balkan Romani,519,4656022,"FineWeb2, v2.1.0",10,2013,2024,DATA/rmn_Grek
dtp,dtp_Latn,Latn,Kadazan Dusun,188,4656009,"FineWeb2, v2.1.0",11,2013,2024,DATA/dtp_Latn
ada,ada_Latn,Latn,Adangme,215,4611115,"FineWeb2, v2.1.0",8,2013,2023,DATA/ada_Latn
amu,amu_Latn,Latn,Guerrero Amuzgo,106,4590879,"FineWeb2, v2.1.0",9,2013,2023,DATA/amu_Latn
kwn,kwn_Latn,Latn,Kwangali,164,4587011,"FineWeb2, v2.1.0",11,2013,2024,DATA/kwn_Latn
dag,dag_Latn,Latn,Dagbani,1648,4584305,"FineWeb2, v2.1.0",12,2013,2024,DATA/dag_Latn
kpg,kpg_Latn,Latn,Kapingamarangi,98,4568802,"FineWeb2, v2.1.0",8,2017,2024,DATA/kpg_Latn
her,her_Latn,Latn,Herero,162,4521012,"FineWeb2, v2.1.0",11,2013,2024,DATA/her_Latn
seh,seh_Latn,Latn,Sena,164,4513513,"FineWeb2, v2.1.0",10,2014,2024,DATA/seh_Latn
tbz,tbz_Latn,Latn,Ditammari,136,4501843,"FineWeb2, v2.1.0",9,2013,2024,DATA/tbz_Latn
stq,stq_Latn,Latn,Saterfriesisch,478,4491091,"FineWeb2, v2.1.0",12,2013,2024,DATA/stq_Latn
sat,sat_Olck,Olck,Santali,864,4476092,"FineWeb2, v2.1.0",7,2018,2024,DATA/sat_Olck
awa,awa_Deva,Deva,Awadhi,333,4461775,"FineWeb2, v2.1.0",12,2013,2024,DATA/awa_Deva
yap,yap_Latn,Latn,Yapese,195,4459075,"FineWeb2, v2.1.0",12,2013,2024,DATA/yap_Latn
